code,name
000651.SZ,格力电器
000333.SZ,美的集团
600690.SH,海尔智家
601728.SH,中国电信
003816.SZ,中国广核
601985.SH,中国核电
600795.SH,国电电力
601919.SH,中远海控
600916.SH,中国黄金
000001.SZ,平安银行
601000.SH,唐山港
000999.SZ,华润三九
600900.SH,长江电力
600011.SH,华能国际
600886.SH,国投电力
600887.SH,伊利股份
600941.SH,中国移动
000429.SZ,粤高速A
000630.SZ,铜陵有色
601857.SH,中国石油
