code,name
159928.SZ,中证消费ETF
515790.SH,光伏ETF
515220.SH,煤炭ETF国泰
159915.SZ,创业板ETF
159611.SZ,电力ETF
159516.SZ,半导体设备ETF国泰
512880.SH,证券ETF
159692.SZ,证券东财ETF
512660.SH,军工ETF
516080.SH,创新药ETF
516770.SH,游戏ETF华泰博瑞
516010.SH,游戏ETF国泰
515880.SH,通信ETF
588780.SH,科创芯片设计ETF国联安
159848.SZ,证券国联ETF
159741.SZ,恒科ETF嘉实
588080.SH,科创50ETF易方达
